Date,AAPL,JNJ,JPM,NVDA,T,TSLA,WMT,XOM
2015-01-02,24.2885799407959,78.01263427734375,47.17426300048828,0.4830656051635742,11.901089668273926,14.620667457580566,23.32090950012207,58.96712112426758
2015-01-05,23.604333877563477,77.4677505493164,45.70973587036133,0.4749063551425934,11.788653373718262,14.005999565124512,23.253034591674805,57.353694915771484
2015-01-06,23.606552124023438,77.08708190917969,44.5245246887207,0.4605080187320709,11.806221961975098,14.085332870483398,23.432220458984375,57.04877471923828
2015-01-07,23.93757438659668,78.78887176513672,44.592472076416016,0.4593082070350647,11.875057220458984,14.063332557678223,24.053926467895508,57.6268424987793
2015-01-08,24.8573055267334,79.40837097167969,45.588951110839844,0.4765862226486206,11.993200302124023,14.041333198547363,24.56161880493164,58.58600616455078
2015-01-09,24.883968353271484,78.32611846923828,44.79628372192383,0.4785061478614807,11.957401275634766,13.77733325958252,24.257545471191406,58.50342559814453
2015-01-12,24.270809173583984,78.0573959350586,44.41130065917969,0.4725068211555481,11.989620208740234,13.480667114257812,24.43944549560547,57.37910842895508
2015-01-13,24.486295700073242,78.19175720214844,44.41883850097656,0.47178688645362854,11.989620208740234,13.616666793823242,24.24669075012207,57.169471740722656
2015-01-14,24.392995834350586,77.62450408935547,42.88637161254883,0.47370660305023193,11.932341575622559,12.845999717712402,23.513668060302734,57.004310607910156
2015-01-15,23.730966567993164,76.49746704101562,41.512451171875,0.4703470468521118,11.907278060913086,12.791333198547363,23.72271156311035,56.50883865356445
2015-01-16,23.546573638916016,77.65435791015625,42.22205352783203,0.4789860248565674,12.100600242614746,12.871333122253418,23.557100296020508,57.880924224853516
2015-01-20,24.153060913085938,75.60176849365234,42.05596923828125,0.4804258644580841,12.15429973602295,12.795332908630371,23.535390853881836,57.86184310913086
2015-01-21,24.337451934814453,76.05706787109375,42.19185256958008,0.48714515566825867,12.172204971313477,13.104666709899902,23.521804809570312,58.357303619384766
2015-01-22,24.97060775756836,77.44536590576172,43.47520446777344,0.4955440163612366,12.097020149230957,13.441332817077637,23.97248077392578,58.992557525634766
2015-01-23,25.09946060180664,76.28099822998047,42.788238525390625,0.49698397517204285,11.94665813446045,13.419333457946777,24.029495239257812,57.73482131958008
2015-01-26,25.12611961364746,76.32579040527344,42.85618209838867,0.4948241114616394,11.878636360168457,13.770000457763672,24.062076568603516,58.287445068359375
2015-01-27,24.24637222290039,76.1988754272461,42.42587661743164,0.4710669219493866,11.746176719665527,13.732000350952148,23.763439178466797,57.77293014526367
2015-01-28,25.617084503173828,75.74360656738281,41.331260681152344,0.4633878171443939,11.69963550567627,13.291333198547363,23.570682525634766,55.867279052734375
2015-01-29,26.414642333984375,76.41535186767578,42.025779724121094,0.4746665358543396,11.799874305725098,13.680000305175781,23.815021514892578,55.63225173950195
2015-01-30,26.028093338012695,74.74340057373047,41.05195236206055,0.4607480764389038,11.78555965423584,13.573332786560059,23.071134567260742,55.530601501464844
2015-02-02,26.354646682739258,75.2584457397461,41.87480163574219,0.4708269238471985,12.014676094055176,14.062666893005371,23.26932716369629,56.90269470214844
2015-02-03,26.359100341796875,76.47502136230469,42.818443298339844,0.4825855791568756,12.293926239013672,14.557332992553711,23.399639129638672,58.598716735839844
2015-02-04,26.56126594543457,75.65401458740234,42.561763763427734,0.4837854206562042,12.318984985351562,14.569999694824219,23.52452850341797,58.09687805175781
2015-02-05,26.750844955444336,76.47502136230469,42.85618209838867,0.4917047619819641,12.365522384643555,14.732666969299316,23.695566177368164,58.668582916259766
2015-02-06,26.525571823120117,75.4599838256836,43.70167922973633,0.48954498767852783,12.48366928100586,14.490667343139648,23.709144592285156,58.559776306152344
2015-02-09,26.70177459716797,74.4747085571289,43.648841857910156,0.4890647530555725,12.401325225830078,14.498666763305664,23.32362174987793,58.59817886352539
2015-02-10,27.21475601196289,74.90019989013672,44.13196563720703,0.5027433037757874,12.476510047912598,14.419333457946777,23.698278427124023,58.24616622924805
2015-02-11,27.852636337280273,74.92256164550781,44.06403350830078,0.49938395619392395,12.311824798583984,14.186667442321777,23.440366744995117,57.98377990722656
2015-02-12,28.20503807067871,73.47456359863281,44.96992874145508,0.5351395606994629,12.390589714050293,13.525333404541016,23.318193435668945,59.1165771484375
2015-02-13,28.34331703186035,74.35530853271484,45.045406341552734,0.5353797078132629,12.408486366271973,13.584667205810547,23.296476364135742,59.7565803527832
2015-02-17,28.510581970214844,74.96733856201172,45.37002182006836,0.5370595455169678,12.426383972167969,13.623332977294922,23.337196350097656,59.55179977416992
2015-02-18,28.709089279174805,74.60910034179688,44.81894302368164,0.5308201313018799,12.347624778747559,13.630666732788086,23.426788330078125,58.24616622924805
2015-02-19,28.64887046813965,75.16141510009766,44.71324920654297,0.5322600603103638,12.204419136047363,14.11400032043457,22.674766540527344,57.24139404296875
2015-02-20,28.883056640625,75.3568344116211,45.1435546875,0.5360996127128601,12.200845718383789,14.473999977111816,22.886526107788086,57.548583984375
2015-02-23,29.663681030273438,75.29667663574219,44.80384826660156,0.5317801237106323,12.118502616882324,13.822667121887207,22.967975616455078,56.966182708740234
2015-02-24,29.478567123413086,75.68754577636719,45.9135627746582,0.5374411344528198,12.190108299255371,13.607333183288574,22.9598331451416,57.22858810424805
2015-02-25,28.724699020385742,76.07085418701172,46.15513229370117,0.5333460569381714,12.247382164001465,13.583999633789062,22.68834114074707,57.34379577636719
2015-02-26,29.088245391845703,77.26593780517578,46.48728942871094,0.5347914099693298,12.351210594177246,13.812666893005371,22.75078582763672,56.735782623291016
